,precision,recall,f1-score,support
Deskside Carnegie,0.6556291390728477,0.7978021978021979,0.719762062128222,1365.0
G SNOW EXT ATOS CENTRAL USER ACCESS TEAM,0.8531278331822303,0.6740687679083095,0.7531012404961985,1396.0
G SNOW EXT ATOS IS MAILING ADMINS,0.8075734157650696,0.7816005983545251,0.7943747624477385,1337.0
G SNOW GR SERVICE DESK,0.9482631189948263,0.9419970631424376,0.9451197053406998,1362.0
G SNOW IT SERVICE DESK,0.9492424242424242,0.9329858525688757,0.9410439354111904,1343.0
G SNOW PL SERVICE DESK,0.9292517006802721,0.9708599857853589,0.9496002780674314,1407.0
G SNOW RU SERVICE DESK,0.736380713838447,0.8691796008869179,0.7972881355932203,1353.0
GBL-WTI-AHS UNIX L1,0.9306625577812019,0.8766328011611031,0.9028400597907323,1378.0
GBL-WTI-AHS WINTEL L1,0.8756046993780235,0.9108554996405464,0.8928823114869626,1391.0
I-Buy Process Support,0.769917144678139,0.8908554572271387,0.8259829059829059,1356.0
PZC-FJ-ServiceDesk,0.7860262008733624,0.7764198418404026,0.7811934900542495,1391.0
SD_1stL_SD-UC_NSN_ENG_PH,0.8414154652686763,0.45499645641389086,0.5906163753449861,1411.0
SD_UC_CoCare_NSN_GL,0.6610389610389611,0.6953551912568307,0.677762982689747,1464.0
Service Desk - GAM,0.6299511665762344,0.82987848463188,0.716224552745219,1399.0
Service Desk - Non Sales,0.7794117647058824,0.5583145221971407,0.6505918456817186,1329.0
Service Desk - Sales All,0.8186206896551724,0.8779585798816568,0.8472519628836546,1352.0
accuracy,0.8017609149496233,0.8017609149496233,0.8017609149496233,0.8017609149496233
macro avg,0.8107573122332357,0.8024850562937007,0.7991022878840548,22034.0
weighted avg,0.810224002205807,0.8017609149496233,0.7984154954932474,22034.0
