short_descriptions,assignment_groups
Please enable user in IDM,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
add BSO org assginment ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Full Access to S Folder,Service Desk - GAM
Workflow change request  how to implement it ,I-Buy Process Support
Mirroring iPad question,Service Desk - Non Sales
IT Renew certificates of cisco anyconnect  Certificates have been expired ,G SNOW IT SERVICE DESK
Please block sender MAlthanonhbkueduqa,G SNOW EXT ATOS IS MAILING ADMINS
NokiaProcurementContractManager role needed,I-Buy Process Support
CCR Monitoring  Not Maintained in NG12 for NGB1 ,PZC-FJ-ServiceDesk
VNC server hzlnxc16 in Hangzhou is slow,SD_UC_CoCare_NSN_GL
Server is not responding via ssh,SD_1stL_SD-UC_NSN_ENG_PH
Hardware  Keys are getting stuck,SD_1stL_SD-UC_NSN_ENG_PH
IR118100471765REV12251 error in transaction currency,I-Buy Process Support
Red team trainingpassword sync,Service Desk - Non Sales
Unable to setup email on new iPad,Service Desk - Non Sales
SOFTWARE  Win10FMO  Laptop has Several Issue,SD_1stL_SD-UC_NSN_ENG_PH
Issues converting to pdf,Service Desk - Non Sales
CSL Mismatch of user Kanika Ahuja,SD_UC_CoCare_NSN_GL
update of comp portal,Service Desk - Non Sales
Unexpected shut downs on my laptop,SD_1stL_SD-UC_NSN_ENG_PH
Work on personal laptop,Service Desk - Non Sales
Modify the PO  5020154754,SD_UC_CoCare_NSN_GL
amrdrms004ldom01pfizercomLogMonitorFileSystem or Device Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixFullFilesystemErrors Guest LDOM,GBL-WTI-AHS UNIX L1
Problem with patching CI AMRPRVL004  Investigation Required,GBL-WTI-AHS UNIX L1
BSO  Change of email and display name,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Request for IBuy Access to raise PO for Denmark,I-Buy Process Support
NSB user cant see o365 users freebusy information,SD_UC_CoCare_NSN_GL
FW Power BI License,Service Desk - Non Sales
SF Ticket 00276794,SD_1stL_SD-UC_NSN_ENG_PH
RE PSI SharePoint Access,Service Desk - Non Sales
IT Airwatch account locked,G SNOW IT SERVICE DESK
BPP Validity Error,SD_UC_CoCare_NSN_GL
Capturing activities in Continuous Performance,Service Desk - Non Sales
Please create a mailing group Finance Analyst CP CenterSouth,G SNOW RU SERVICE DESK
Update  PLANNED MAINTENANCE ACTIVITY SASGRID TEST  PRODUCTION Services will be unavailable from SATURDAY 21th March 2020  1000 AM EST to 0200 PM EST,Service Desk - Non Sales
INCNo Taxes on Sales Purchases are Allowed   9000009355  A19559446  OSS 614575  2018  ,PZC-FJ-ServiceDesk
EEPT EEPT incorrectly handled POCs for Sprint POs 0011106196 0011106221 0011111903,SD_1stL_SD-UC_NSN_ENG_PH
Password expiring assistance required ,Service Desk - Non Sales
Provide send rights to HQ000974 for distribution list 2020HRConferenceParticipantscchelleniccom,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
User needs default password  manager has defualt password,Service Desk - Non Sales
Outlook DL list Ownership,Service Desk - GAM
PL  new zposition,G SNOW PL SERVICE DESK
BSO  Planon access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
amrndhs212pfizercomdevCapacity MonitorDisk utilization for  exceeds 95devCapacity Unix,GBL-WTI-AHS UNIX L1
Batch 0000176056 of FG with code 1001055,PZC-FJ-ServiceDesk
unable to login into salesforce and also go online from veeva ,Service Desk - Sales All
Remove Unix access for SHARS218,GBL-WTI-AHS UNIX L1
Hardware laptop HP Elitebook 840 is not powering on,SD_1stL_SD-UC_NSN_ENG_PH
Unable to login to concur,Service Desk - Non Sales
Unable to login to Confluence,SD_1stL_SD-UC_NSN_ENG_PH
Software Center was empty has missing applications,SD_1stL_SD-UC_NSN_ENG_PH
Please revoke pbrun arba9pd access for velmun,GBL-WTI-AHS UNIX L1
EE SVN Not able to login SVN,SD_UC_CoCare_NSN_GL
URGENT ISSUE  IBUY  Email approval,I-Buy Process Support
Access to Shared Mailbox and change of Manager,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
DP ISSUE Failures for EMEA2  BS emastrl003 GP 1900Start CT stremadbo06  NO BACKUP,GBL-WTI-AHS WINTEL L1
Orion error message ,Service Desk - Sales All
Servers with Centrify removed are still automouting for accounts that are local on “AMRSOML545” ”AMRSOML544” ”EMAEDCL188”,GBL-WTI-AHS UNIX L1
Request to reboot wrltes02,SD_1stL_SD-UC_NSN_ENG_PH
Cannot access SAPlogon,SD_UC_CoCare_NSN_GL
BG  New user creation in SAPERP ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SF mail address change request Previous Ticket CAL3455648,SD_UC_CoCare_NSN_GL
Locked out of elearn,Service Desk - Non Sales
asphzhw001apacpfizercom cpqHeFltTolPowerSupply Intel,GBL-WTI-AHS WINTEL L1
Frequently getting locked out of my computer Citrix Skypeand other applications for unknown reasons,Service Desk - Non Sales
SAP P20 PO value failed to trigger to SAP SB1 PO,SD_UC_CoCare_NSN_GL
